r,cutoff,avg_time (seconds),median_time (seconds)
7,180,0.325879702,0.32617315
7,181,0.33282231,0.333539473
7,182,0.328074751,0.329960004
7,183,0.324482063,0.324773523
7,184,0.324889065,0.325719185
7,185,0.327157057,0.327478287
7,186,0.329688825,0.330445403
7,187,0.325605072,0.326254168
7,188,0.328924582,0.330333073
7,189,0.331405066,0.332500382
7,190,0.327649075,0.328375603
7,191,0.328171499,0.328598024
7,192,0.325685083,0.327583688
7,193,0.325145123,0.325441036
7,194,0.33042216,0.331743167
7,195,0.325374142,0.325780588
7,196,0.325379667,0.326207342
7,197,0.326948179,0.330186549
7,198,0.327152246,0.32720703
7,199,0.329478621,0.329988431
7,200,0.327449916,0.330944443
11,3,0.473648528,0.474414691
11,4,0.465476077,0.467043251
11,5,0.456537522,0.45805291
11,6,0.455080877,0.455627286
11,7,0.451746372,0.451946649
11,8,0.444683758,0.444825787
11,9,0.451944309,0.454930704
11,10,0.441818472,0.441825295
11,11,0.4383362,0.439668554
11,12,0.429889257,0.430782067
11,13,0.425299131,0.426174015
11,14,0.419427249,0.420733158
11,15,0.412734924,0.414018496
11,16,0.416534852,0.418483037
11,17,0.410136991,0.410559914
11,18,0.415786869,0.415870312
11,19,0.403617867,0.40365701
11,20,0.406942586,0.407745977
11,21,0.404683883,0.40671724
11,22,0.40202317,0.402220321
11,23,0.399228895,0.400666404
11,24,0.395139441,0.395149021
11,25,0.397207918,0.398348832
11,26,0.387966578,0.388910786
11,27,0.386837401,0.387511061
11,28,0.392907059,0.393974896
11,29,0.383916975,0.384220629
11,30,0.382620211,0.383037117
11,31,0.385628178,0.386570117
11,32,0.382165074,0.383880553
11,33,0.380952544,0.382893017
11,34,0.376896997,0.379121872
11,35,0.377743495,0.37813999
11,36,0.379882472,0.380951094
11,37,0.376358732,0.377062395
11,38,0.377422676,0.377665705
11,39,0.374507785,0.374583442
11,40,0.37031808,0.372841504
11,41,0.373731749,0.37477396
11,42,0.37281374,0.373478493
11,43,0.372646305,0.373387711
11,44,0.373365879,0.376251366
11,45,0.373392439,0.374841181
11,46,0.369354579,0.369491166
11,47,0.37079085,0.371179035
11,48,0.366692183,0.367687281
11,49,0.37185387,0.373862383
11,50,0.367896096,0.367980309
11,51,0.367377168,0.369446701
11,52,0.369535649,0.369952143
11,53,0.364887315,0.365496675
11,54,0.36398232,0.365086301
11,55,0.364221104,0.364704868
11,56,0.361281511,0.361735135
11,57,0.360544681,0.363146116
11,58,0.358714733,0.360923804
11,59,0.360362152,0.360727589
11,60,0.360165757,0.361216809
11,61,0.35633775,0.358013034
11,62,0.3579922,0.35827741
11,63,0.358135532,0.358896477
11,64,0.356538864,0.356804459
11,65,0.357277626,0.358068033
11,66,0.355903639,0.357173414
11,67,0.352626263,0.353026489
11,68,0.353951953,0.354251756
11,69,0.352642923,0.35268253
11,70,0.354610002,0.355291865
11,71,0.352253383,0.353702429
11,72,0.355149068,0.355220451
11,73,0.354660434,0.354886774
11,74,0.356420812,0.360741841
11,75,0.353052102,0.353735501
11,76,0.354229878,0.356462097
11,77,0.351305673,0.351589995
11,78,0.351839507,0.352243792
11,79,0.351613745,0.353457089
11,80,0.354779535,0.357056557
11,81,0.352452537,0.352886104
11,82,0.349400008,0.349491966
11,83,0.354303759,0.356113681
11,84,0.352533089,0.354083911
11,85,0.352142875,0.35250972
11,86,0.352192797,0.354025139
11,87,0.350984633,0.351010429
11,88,0.350661089,0.351001984
11,89,0.350657189,0.352448738
11,90,0.34997014,0.351058824
11,91,0.352694354,0.355615112
11,92,0.351788009,0.352787175
11,93,0.348084062,0.348448875
11,94,0.352788664,0.353654604
11,95,0.35154847,0.35163429
11,96,0.351954306,0.352177038
11,97,0.349654119,0.349658847
11,98,0.349864351,0.352286811
11,99,0.350040014,0.352166991
11,100,0.351001933,0.351112468
11,101,0.349424584,0.349678173
11,102,0.349964715,0.35058585
11,103,0.354190123,0.356422007
11,104,0.347689336,0.348943999
11,105,0.347610828,0.348021502
11,106,0.347338628,0.347458885
11,107,0.348739086,0.351145984
11,108,0.351121228,0.352072864
11,109,0.347037089,0.347855329
11,110,0.346208666,0.347644175
11,111,0.345277209,0.345627751
11,112,0.348064513,0.348076693
11,113,0.347116473,0.347429016
11,114,0.347304821,0.347806378
11,115,0.343937001,0.344938262
11,116,0.347456914,0.348155866
11,117,0.347350838,0.348192264
11,118,0.345003695,0.346821382
11,119,0.344891438,0.345632704
11,120,0.347399805,0.347861065
11,121,0.34431776,0.346169582
11,122,0.345795703,0.346139327
11,123,0.346681901,0.348235724
11,124,0.344250729,0.345927125
11,125,0.344321447,0.344618801
11,126,0.344609541,0.34568846
11,127,0.341723839,0.341781151
11,128,0.342513732,0.342969825
11,129,0.347210799,0.350057737
11,130,0.341535079,0.341706489
11,131,0.341638934,0.342355238
11,132,0.343241093,0.344164829
11,133,0.34117283,0.34179035
11,134,0.339632524,0.340362127
